Retail Order ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Postal Code,Country,City,State,Region,latitude,longitude,Retail Sales People,Product ID,Product Name,Sub-Category,Category,Returned,Sales,Quantity,Discount,Profit,Cost,Unit CP,Unit SP,Days
1,CA-2016-152156,8/11/16 0:00,11/11/16 0:00,Second Class,CG-12520,Claire Gute,Consumer,42420,United States,Henderson,Kentucky,South,"37,839333","-84,27",Cassandra Brandow,FUR-BO-10001798,Bush Somerset Collection Bookcase,Bookcases,Furniture,Not,"261,96",2,0,"41,9136","220,0464","110,0232","130,98",92
2,CA-2016-152156,8/11/16 0:00,11/11/16 0:00,Second Class,CG-12520,Claire Gute,Consumer,42420,United States,Henderson,Kentucky,South,"37,839333","-84,270018",Cassandra Brandow,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs,Furniture,Not,"731,94",3,0,"219,582","512,358","170,786","243,98",92
3,CA-2016-138688,12/6/16 0:00,12/6/16 0:00,Second Class,DV-13045,Darrin Van Huff,Corporate,90036,United States,Los Angeles,California,West,"36,778261","-119,417932",Anna Andreadi,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Labels,Office Supplies,Not,"14,62",2,0,"6,8714","7,7486","3,8743","7,31",0
4,US-2015-108966,11/10/15 0:00,11/10/15 0:00,Standard Class,SO-20335,Sean O'Donnell,Consumer,33311,United States,Fort Lauderdale,Florida,South,"27,664827","-81,515754",Cassandra Brandow,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Tables,Furniture,Not,"957,5775",5,"0,45","-383,031","1340,6085","268,1217","191,5155",0
5,US-2015-108966,11/10/15 0:00,11/10/15 0:00,Standard Class,SO-20335,Sean O'Donnell,Consumer,33311,United States,Fort Lauderdale,Florida,South,"27,664827","-81,515754",Cassandra Brandow,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Storage,Office Supplies,Not,"22,368",2,"0,2","2,5164","19,8516","9,9258","11,184",0
6,CA-2014-115812,9/6/14 0:00,9/6/14 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,90032,United States,Los Angeles,California,West,"36,778261","-119,417932",Anna Andreadi,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furnishings,Furniture,Not,"48,86",7,0,"14,1694","34,6906","4,9558","6,98",0
7,CA-2014-115812,9/6/14 0:00,9/6/14 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,90032,United States,Los Angeles,California,West,"36,778261","-119,417932",Anna Andreadi,OFF-AR-10002833,Newell 322,Art,Office Supplies,Not,"7,28",4,0,"1,9656","5,3144","1,3286","1,82",0
8,CA-2014-115812,9/6/14 0:00,9/6/14 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,90032,United States,Los Angeles,California,West,"36,778261","-119,417932",Anna Andreadi,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Phones,Technology,Not,"907,152",6,"0,2","90,7152","816,4368","136,0728","151,192",0
9,CA-2014-115812,9/6/14 0:00,9/6/14 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,90032,United States,Los Angeles,California,West,"36,778261","-119,417932",Anna Andreadi,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Binders,Office Supplies,Not,"18,504",3,"0,2","5,7825","12,7215","4,2405","6,168",0
10,CA-2014-115812,9/6/14 0:00,9/6/14 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,90032,United States,Los Angeles,California,West,"36,778261","-119,417932",Anna Andreadi,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Appliances,Office Supplies,Not,"114,9",5,0,"34,47","80,43","16,086","22,98",0
11,CA-2014-115812,9/6/14 0:00,9/6/14 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,90032,United States,Los Angeles,California,West,"36,778261","-119,417932",Anna Andreadi,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Tables,Furniture,Not,"1706,184",9,"0,2","85,3092","1620,8748","180,0972","189,576",0
12,CA-2014-115812,9/6/14 0:00,9/6/14 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,90032,United States,Los Angeles,California,West,"36,778261","-119,417932",Anna Andreadi,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Phones,Technology,Not,"911,424",4,"0,2","68,3568","843,0672","210,7668","227,856",0
13,CA-2017-114412,4/15/17 0:00,4/20/17 0:00,Standard Class,AA-10480,Andrew Allen,Consumer,28027,United States,Concord,North Carolina,South,"35,759573","-79,0193",Cassandra Brandow,OFF-PA-10002365,Xerox 1967,Paper,Office Supplies,Not,"15,552",3,"0,2","5,4432","10,1088","3,3696","5,184",5
14,CA-2016-161389,5/12/16 0:00,10/12/16 0:00,Standard Class,IM-15070,Irene Maddox,Consumer,98103,United States,Seattle,Washington,West,"47,751074","-120,740139",Anna Andreadi,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Binders,Office Supplies,Not,"407,976",3,"0,2","132,5922","275,3838","91,7946","135,992",153
15,US-2015-118983,11/22/15 0:00,11/26/15 0:00,Standard Class,HP-14815,Harold Pawlan,Home Office,76106,United States,Fort Worth,Texas,Central,"31,968599","-99,901813",Kelly Williams,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Appliances,Office Supplies,Not,"68,81",5,"0,8","-123,858","192,668","38,5336","13,762",4
16,US-2015-118983,11/22/15 0:00,11/26/15 0:00,Standard Class,HP-14815,Harold Pawlan,Home Office,76106,United States,Fort Worth,Texas,Central,"31,968599","-99,901813",Kelly Williams,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Binders,Office Supplies,Not,"2,544",3,"0,8","-3,816","6,36","2,12","0,848",4
17,CA-2014-105893,11/11/14 0:00,11/18/14 0:00,Standard Class,PK-19075,Pete Kriz,Consumer,53711,United States,Madison,Wisconsin,Central,"43,78444","-88,787868",Kelly Williams,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Storage,Office Supplies,Not,"665,88",6,0,"13,3176","652,5624","108,7604","110,98",7
18,CA-2014-167164,5/13/14 0:00,5/15/14 0:00,Second Class,AG-10270,Alejandro Grove,Consumer,84084,United States,West Jordan,Utah,West,"39,32098","-111,093731",Anna Andreadi,OFF-ST-10000107,Fellowes Super Stor/Drawer,Storage,Office Supplies,Not,"55,5",2,0,"9,99","45,51","22,755","27,75",2
19,CA-2014-143336,8/27/14 0:00,8/27/14 0:00,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,94109,United States,San Francisco,California,West,"36,778261","-119,417932",Anna Andreadi,OFF-AR-10003056,Newell 341,Art,Office Supplies,Yes,"8,56",2,0,"2,4824","6,0776","3,0388","4,28",0
20,CA-2014-143336,8/27/14 0:00,8/27/14 0:00,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,94109,United States,San Francisco,California,West,"36,778261","-119,417932",Anna Andreadi,TEC-PH-10001949,Cisco SPA 501G IP Phone,Phones,Technology,Yes,"213,48",3,"0,2","16,011","197,469","65,823","71,16",0
21,CA-2014-143336,8/27/14 0:00,8/27/14 0:00,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,94109,United States,San Francisco,California,West,"36,778261","-119,417932",Anna Andreadi,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Binders,Office Supplies,Yes,"22,72",4,"0,2","7,384","15,336","3,834","5,68",0
22,CA-2016-137330,9/12/16 0:00,12/13/16 0:00,Standard Class,KB-16585,Ken Black,Corporate,68025,United States,Fremont,Nebraska,Central,"41,492537","-99,901813",Kelly Williams,OFF-AR-10000246,Newell 318,Art,Office Supplies,Not,"19,46",7,0,"5,0596","14,4004","2,0572","2,78",92
23,CA-2016-137330,9/12/16 0:00,12/13/16 0:00,Standard Class,KB-16585,Ken Black,Corporate,68025,United States,Fremont,Nebraska,Central,"41,492537","-99,901813",Kelly Williams,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Appliances,Office Supplies,Not,"60,34",7,0,"15,6884","44,6516","6,3788","8,62",92
24,US-2017-156909,7/16/17 0:00,7/18/17 0:00,Second Class,SF-20065,Sandra Flanagan,Consumer,19140,United States,Philadelphia,Pennsylvania,East,"41,203322","-77,194525",Chuck Magee,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Chairs,Furniture,Not,"71,372",2,"0,3","-1,0196","72,3916","36,1958","35,686",2
25,CA-2015-106320,9/25/15 0:00,9/30/15 0:00,Standard Class,EB-13870,Emily Burns,Consumer,84057,United States,Orem,Utah,West,"39,32098","-111,093731",Anna Andreadi,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Tables,Furniture,Not,"1044,63",3,0,"240,2649","804,3651","268,1217","348,21",5
26,CA-2016-121755,1/16/16 0:00,1/20/16 0:00,Second Class,EH-13945,Eric Hoffmann,Consumer,90049,United States,Los Angeles,California,West,"36,778261","-119,417932",Anna Andreadi,OFF-BI-10001634,Wilson Jones Active Use Binders,Binders,Office Supplies,Not,"11,648",2,"0,2","4,2224","7,4256","3,7128","5,824",4
27,CA-2016-121755,1/16/16 0:00,1/20/16 0:00,Second Class,EH-13945,Eric Hoffmann,Consumer,90049,United States,Los Angeles,California,West,"36,778261","-119,417932",Anna Andreadi,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Accessories,Technology,Not,"90,57",3,0,"11,7741","78,7959","26,2653","30,19",4
28,US-2015-150630,9/17/15 0:00,9/21/15 0:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,19140,United States,Philadelphia,Pennsylvania,East,"41,203322","-77,194525",Chuck Magee,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,Furniture,Not,"3083,43",7,"0,5","-1665,0522","4748,4822","678,3546","440,49",4
